Test loss: tensor(1.0329, device='cuda:0')accuary:0.03
Test loss: tensor(1.0262, device='cuda:0')accuary:0.03625
Test loss: tensor(0.9827, device='cuda:0')accuary:0.04625
Test loss: tensor(1.0704, device='cuda:0')accuary:0.0325
Test loss: tensor(1.0513, device='cuda:0')accuary:0.035
Test loss: tensor(1.0385, device='cuda:0')accuary:0.03875
Test loss: tensor(1.0034, device='cuda:0')accuary:0.0475
Test loss: tensor(1.0432, device='cuda:0')accuary:0.04
Test loss: tensor(1.0168, device='cuda:0')accuary:0.0275
Test loss: tensor(0.9796, device='cuda:0')accuary:0.04875
Test loss: tensor(1.0447, device='cuda:0')accuary:0.0375
Test loss: tensor(1.0393, device='cuda:0')accuary:0.025
Test loss: tensor(1.0287, device='cuda:0')accuary:0.035
Test loss: tensor(0.5030, device='cuda:0')accuary:0.00875
Test loss: tensor(0.4775, device='cuda:0')accuary:0.01875
Test loss: tensor(0.4501, device='cuda:0')accuary:0.01875
Test loss: tensor(0.4316, device='cuda:0')accuary:0.0325
Test loss: tensor(0.4239, device='cuda:0')accuary:0.0275
Test loss: tensor(0.4004, device='cuda:0')accuary:0.03
Test loss: tensor(0.3771, device='cuda:0')accuary:0.04125
Test loss: tensor(0.3851, device='cuda:0')accuary:0.03875
Test loss: tensor(0.3592, device='cuda:0')accuary:0.0375
Test loss: tensor(0.3434, device='cuda:0')accuary:0.05625
Test loss: tensor(0.3306, device='cuda:0')accuary:0.065
Test loss: tensor(0.3235, device='cuda:0')accuary:0.0675
Test loss: tensor(0.3155, device='cuda:0')accuary:0.06125
Test loss: tensor(0.2937, device='cuda:0')accuary:0.0825
Test loss: tensor(0.2873, device='cuda:0')accuary:0.08125
Test loss: tensor(0.2906, device='cuda:0')accuary:0.0825
Test loss: tensor(0.2717, device='cuda:0')accuary:0.10125
Test loss: tensor(0.2664, device='cuda:0')accuary:0.1025
Test loss: tensor(0.2607, device='cuda:0')accuary:0.1175
Test loss: tensor(0.2538, device='cuda:0')accuary:0.10625
Test loss: tensor(0.2474, device='cuda:0')accuary:0.125
Test loss: tensor(0.2422, device='cuda:0')accuary:0.13
Test loss: tensor(0.2420, device='cuda:0')accuary:0.135
Test loss: tensor(0.2239, device='cuda:0')accuary:0.1425
Test loss: tensor(0.2325, device='cuda:0')accuary:0.14125
Test loss: tensor(0.2244, device='cuda:0')accuary:0.1425
Test loss: tensor(0.2108, device='cuda:0')accuary:0.155
Test loss: tensor(0.2023, device='cuda:0')accuary:0.18125
Test loss: tensor(0.2007, device='cuda:0')accuary:0.1825
Test loss: tensor(0.2001, device='cuda:0')accuary:0.18
Test loss: tensor(0.1900, device='cuda:0')accuary:0.185
Test loss: tensor(0.1975, device='cuda:0')accuary:0.16375
Test loss: tensor(0.1851, device='cuda:0')accuary:0.2125
Test loss: tensor(0.2032, device='cuda:0')accuary:0.16875
Test loss: tensor(0.2024, device='cuda:0')accuary:0.18
Test loss: tensor(0.1750, device='cuda:0')accuary:0.22625
Test loss: tensor(0.1709, device='cuda:0')accuary:0.24
Test loss: tensor(0.1660, device='cuda:0')accuary:0.24125
Test loss: tensor(0.1651, device='cuda:0')accuary:0.23875
Test loss: tensor(0.1611, device='cuda:0')accuary:0.24
Test loss: tensor(1.1223, device='cuda:0')accuary:0.0
Test loss: tensor(1.0808, device='cuda:0')accuary:0.0
Test loss: tensor(1.1162, device='cuda:0')accuary:0.0
Test loss: tensor(1.0685, device='cuda:0')accuary:0.0
Test loss: tensor(1.0502, device='cuda:0')accuary:0.0
Test loss: tensor(1.1106, device='cuda:0')accuary:0.00375
Test loss: tensor(1.0475, device='cuda:0')accuary:0.00125
Test loss: tensor(1.0356, device='cuda:0')accuary:0.00375
Test loss: tensor(1.0404, device='cuda:0')accuary:0.0025
Test loss: tensor(1.0251, device='cuda:0')accuary:0.0025
Test loss: tensor(1.0206, device='cuda:0')accuary:0.00875
Test loss: tensor(1.0213, device='cuda:0')accuary:0.0025
Test loss: tensor(1.0037, device='cuda:0')accuary:0.00375
Test loss: tensor(1.0167, device='cuda:0')accuary:0.0025
Test loss: tensor(1.0085, device='cuda:0')accuary:0.00375
Test loss: tensor(1.0078, device='cuda:0')accuary:0.00375
Test loss: tensor(1.0084, device='cuda:0')accuary:0.00375
Test loss: tensor(1.0062, device='cuda:0')accuary:0.0025
Test loss: tensor(0.9980, device='cuda:0')accuary:0.0075
Test loss: tensor(1.0063, device='cuda:0')accuary:0.00125
Test loss: tensor(0.9930, device='cuda:0')accuary:0.00125
Test loss: tensor(0.9816, device='cuda:0')accuary:0.0075
Test loss: tensor(0.9853, device='cuda:0')accuary:0.00875
Test loss: tensor(0.9824, device='cuda:0')accuary:0.005
Test loss: tensor(0.9837, device='cuda:0')accuary:0.00375
Test loss: tensor(0.9848, device='cuda:0')accuary:0.00625
Test loss: tensor(0.9706, device='cuda:0')accuary:0.00875
Test loss: tensor(0.9830, device='cuda:0')accuary:0.01125
Test loss: tensor(0.9680, device='cuda:0')accuary:0.015
Test loss: tensor(0.9713, device='cuda:0')accuary:0.01125
Test loss: tensor(0.9616, device='cuda:0')accuary:0.01375
Test loss: tensor(0.9630, device='cuda:0')accuary:0.01125
Test loss: tensor(0.9536, device='cuda:0')accuary:0.0175
Test loss: tensor(0.9749, device='cuda:0')accuary:0.00625
Test loss: tensor(0.9639, device='cuda:0')accuary:0.01625
Test loss: tensor(0.9524, device='cuda:0')accuary:0.0175
Test loss: tensor(0.9413, device='cuda:0')accuary:0.0225
Test loss: tensor(0.9518, device='cuda:0')accuary:0.01375
Test loss: tensor(0.9395, device='cuda:0')accuary:0.0125
Test loss: tensor(0.9254, device='cuda:0')accuary:0.025
Test loss: tensor(0.9261, device='cuda:0')accuary:0.0175
Test loss: tensor(0.9196, device='cuda:0')accuary:0.025
Test loss: tensor(0.9126, device='cuda:0')accuary:0.03
Test loss: tensor(0.9122, device='cuda:0')accuary:0.0275
Test loss: tensor(0.9251, device='cuda:0')accuary:0.01875
Test loss: tensor(0.9105, device='cuda:0')accuary:0.0275
Test loss: tensor(0.8966, device='cuda:0')accuary:0.025
Test loss: tensor(0.9008, device='cuda:0')accuary:0.03125
Test loss: tensor(0.8981, device='cuda:0')accuary:0.03
Test loss: tensor(0.8882, device='cuda:0')accuary:0.03125
Test loss: tensor(0.8945, device='cuda:0')accuary:0.025
Test loss: tensor(0.8856, device='cuda:0')accuary:0.03375
Test loss: tensor(0.8896, device='cuda:0')accuary:0.02875
Test loss: tensor(0.8827, device='cuda:0')accuary:0.035
Test loss: tensor(0.8841, device='cuda:0')accuary:0.03
Test loss: tensor(0.8843, device='cuda:0')accuary:0.0275
Test loss: tensor(0.8823, device='cuda:0')accuary:0.02375
Test loss: tensor(0.8653, device='cuda:0')accuary:0.02375
Test loss: tensor(0.8548, device='cuda:0')accuary:0.03875
Test loss: tensor(0.8742, device='cuda:0')accuary:0.0325
Test loss: tensor(0.8680, device='cuda:0')accuary:0.02875
Test loss: tensor(0.8541, device='cuda:0')accuary:0.0325
Test loss: tensor(0.8439, device='cuda:0')accuary:0.04375
Test loss: tensor(0.8514, device='cuda:0')accuary:0.03625
Test loss: tensor(0.8442, device='cuda:0')accuary:0.03625
Test loss: tensor(0.8542, device='cuda:0')accuary:0.03375
Test loss: tensor(0.8488, device='cuda:0')accuary:0.03625
Test loss: tensor(0.8477, device='cuda:0')accuary:0.03
Test loss: tensor(0.8468, device='cuda:0')accuary:0.035
Test loss: tensor(0.8478, device='cuda:0')accuary:0.03
Test loss: tensor(0.8371, device='cuda:0')accuary:0.045
Test loss: tensor(0.8415, device='cuda:0')accuary:0.03625
Test loss: tensor(0.8292, device='cuda:0')accuary:0.045
Test loss: tensor(0.8168, device='cuda:0')accuary:0.04125
Test loss: tensor(0.8208, device='cuda:0')accuary:0.04625
Test loss: tensor(0.8266, device='cuda:0')accuary:0.02875
Test loss: tensor(0.8373, device='cuda:0')accuary:0.035
Test loss: tensor(0.8270, device='cuda:0')accuary:0.04625
Test loss: tensor(0.8206, device='cuda:0')accuary:0.03875
Test loss: tensor(0.8295, device='cuda:0')accuary:0.04125
Test loss: tensor(0.8091, device='cuda:0')accuary:0.0425
Test loss: tensor(0.8106, device='cuda:0')accuary:0.045
